time,sds.I[1]_blanket.TBR=1.050,sds.I[1]_blanket.TBR=1.060,sds.I[1]_blanket.TBR=1.070,sds.I[1]_blanket.TBR=1.080,sds.I[1]_blanket.TBR=1.090,sds.I[1]_blanket.TBR=1.100,sds.I[1]_blanket.TBR=1.110,sds.I[1]_blanket.TBR=1.120,sds.I[1]_blanket.TBR=1.130,sds.I[1]_blanket.TBR=1.140,sds.I[1]_blanket.TBR=1.150,sds.I[1]_blanket.TBR=1.160,sds.I[1]_blanket.TBR=1.170,sds.I[1]_blanket.TBR=1.180,sds.I[1]_blanket.TBR=1.190,sds.I[1]_blanket.TBR=1.200,sds.I[1]_blanket.TBR=1.210,sds.I[1]_blanket.TBR=1.220,sds.I[1]_blanket.TBR=1.230,sds.I[1]_blanket.TBR=1.240,sds.I[1]_blanket.TBR=1.250
847.0,2396.507628866765,2472.180999064608,2547.854369258079,2623.527739450675,2699.201109638733,2774.874479826135,2850.547850010622,2926.221220190842,3001.894590366441,3077.567960541611,3153.241330715178,3228.914700882412,3304.588070819956,3380.261441211713,3455.934811373852,3531.608181297457,3607.281551451013,3682.954921837264,3758.628291985066,3834.301662133274,3909.975032277305
848.0,2396.764349060761,2472.532542997093,2548.300736929091,2624.068930860131,2699.837124786677,2775.605318712483,2851.373512635374,2927.141706554024,3002.909900468097,3078.678094381645,3154.446288293553,3230.214482199221,3305.982675878665,3381.750870005277,3457.519063905738,3533.287257571344,3609.055451463287,3684.82364558424,3760.591839470478,3836.360033357002,3912.128227239386
849.0,2397.02111818491,2472.884135554453,2548.747152919703,2624.610170283905,2700.473187643659,2776.336205002583,2852.199222358589,2928.062239710381,3003.925257057644,3079.788274404276,3155.65129174923,3231.514309088042,3307.377326204471,3383.240343760264,3459.103361093747,3534.966378196446,3610.829395521481,3686.69241307145,3762.555430390831,3838.418447710368,3914.281465025808
850.0,2397.277936217141,2473.235776714494,2549.193617207591,2625.151457699546,2701.1092981871,2777.067138673727,2853.024979157434,2928.982819636953,3004.940660111993,3080.898500586289,3156.856341058866,3232.814181525405,3308.772021773781,3384.729862452949,3460.687702914026,3536.645543148788,3612.603383601492,3688.561224274654,3764.519064721757,3840.476905168879,3916.434745611945
851.0,2397.534803135386,2473.587466455016,2549.640129770432,2625.692793084603,2701.745456394422,2777.798119703211,2853.850783009074,2929.903446310779,3005.956109608055,3082.008772904468,3158.061436199116,3234.114099487836,3310.166762563004,3386.219426059601,3462.272089342719,3538.324752404394,3614.377415679217,3690.430079169614,3766.482742438891,3842.535405708039,3918.588068973177
852.0,2397.791718917577,2473.939204753826,2550.086690585903,2626.234176416626,2702.381662243046,2778.529148068327,2854.676633890675,2930.824119708895,3006.971605522741,3083.119091335595,3159.266577146635,3235.414062951864,3311.561548548548,3387.709034556494,3463.85652035597,3540.004005939291,3616.151491730554,3692.298977732089,3768.446463517864,3844.593949303353,3920.741435084882
853.0,2398.048683541644,2474.290991588726,2550.533299631681,2626.775607673162,2703.017915710394,2779.26022374637,2855.502531779404,2931.744839808342,3007.987147832961,3084.229455856453,3160.471763878079,3236.714071894017,3312.956379706821,3389.198687919901,3465.440995929923,3541.683303729502,3617.925611731398,3694.167919937842,3770.41022793431,3846.652535930328,3922.894843922434
854.0,2398.305696985518,2474.64282693752,2550.97995688544,2627.317086831761,2703.654216773888,2779.991346714633,2856.328476652427,2932.665606586158,3009.002736515629,3085.339866443827,3161.676996370104,3238.014126290821,3314.351256014232,3390.688386126092,3467.025516040724,3543.362645751054,3619.699775657649,3696.036905762633,3772.374035663863,3848.711165564467,3925.048295461213
855.0,2398.562759227131,2474.994710778013,2551.426662324859,2627.858613869972,2704.290565410949,2780.722516950411,2857.15446848691,2933.586420019381,3010.018371547653,3086.450323074499,3162.882274599365,3239.314226118806,3315.746177447188,3392.178129151342,3468.610080664514,3545.04203197997,3621.473983485203,3697.905935182223,3774.337886682154,3850.769838181277,3927.201789676596
856.0,2398.819870244413,2475.346643088007,2551.873415927612,2628.400188765344,2704.926961598998,2781.453734430997,2857.980507260021,2934.507280085051,3011.034052905945,3087.560825725252,3164.087598542518,3240.614371354499,3317.141143982098,3393.667916971921,3470.194689777441,3546.721462392275,3623.248235189957,3699.775008172373,3776.301780964819,3852.828553756261,3929.35532654396
857.0,2399.077030015296,2475.698623845306,2552.320217671377,2628.941811495425,2705.563405315457,2782.184999133684,2858.806592948923,2935.428186760204,3012.049780567417,3088.671374372871,3165.292968176218,3241.914561974429,3318.53615559537,3395.157749564103,3471.779343355649,3548.400936963995,3625.022530747807,3701.644124708844,3778.265718487489,3854.887312264927,3931.508906038682
858.0,2399.334238517712,2476.050653027715,2552.767067533831,2629.483482037765,2706.199896537747,2782.916311035767,2859.632725530785,2936.349140021881,3013.065554508979,3089.781968994138,3166.498383477119,3243.214797955121,3319.931212263413,3396.647626904159,3473.36404137528,3550.080455671156,3626.796870134653,3703.513284767395,3780.229699225798,3856.946113682779,3933.66252813614
859.0,2399.59149572959,2476.402730613037,2553.213965492648,2630.025200369912,2706.836435243289,2783.64767011454,2860.458904982772,2937.270139847121,3014.081374707542,3090.892609565836,3167.703844421879,3244.515079273105,3321.326313962635,3398.137548968362,3474.94878381248,3551.76001848978,3628.57125332639,3705.38248832379,3782.193723155379,3859.004957985321,3935.816192811711
860.0,2399.848801628862,2476.754856579076,2553.660911525507,2630.566966469416,2707.473021409506,2784.379076347296,2861.28513128205,2938.19118621296,3015.097241140017,3092.00329606475,3168.909350987153,3245.815405904908,3322.721460669443,3399.627515732984,3476.533570643393,3553.439625395895,3630.345680298916,3707.251735353789,3784.157790251865,3861.06384514806,3937.969900040772
861.0,2400.10615619346,2477.107030903635,2554.107905610083,2631.108780313824,2708.109655013818,2785.11052971133,2862.111404405786,2939.112279096439,3016.113153783316,3093.114028467662,3170.114903149596,3247.115777827059,3324.116652360246,3401.117527174298,3478.118401844164,3555.119276365523,3632.120151028127,3709.121025833151,3786.121900490889,3863.1227751465,3940.123649798701
862.0,2400.363559401314,2477.459253564519,2554.554947724052,2631.650641880688,2708.746336033647,2785.842030183935,2862.937724331146,2940.033418474596,3017.129112614349,3094.224806751355,3171.320500885863,3248.416195016084,3325.511889011453,3402.607583268575,3479.703277390937,3556.798971374692,3633.894665489921,3710.990359737639,3788.086053848085,3865.181747956148,3942.277442060875
863.0,2400.621011230356,2477.811524539531,2555.002037845092,2632.192551147554,2709.383064446415,2786.573577742405,2863.764091035295,2940.954604324468,3018.145117610027,3095.335630892613,3172.526144172611,3249.716657448512,3326.907170599472,3404.097683992088,3481.288197259857,3558.478710399423,3635.669223660196,3712.859737043013,3790.050250299085,3867.240763552506,3944.431276802672
864.0,2400.878511658517,2478.163843806474,2555.449175950878,2632.734508091971,2710.019840229543,2787.305172364034,2864.590504495402,2941.875836623095,3019.161168747263,3096.44650086822,3173.731832986494,3251.017165100871,3328.30249710071,3405.58782932111,3482.873161427067,3560.158493415745,3637.443825514848,3714.729157725035,3792.014489819522,3869.299821911083,3946.585153999467
865.0,2401.136060663727,2478.516211343153,2555.896362019087,2633.276512691491,2710.656663360452,2788.036814026115,2865.41696468863,2942.797115347517,3020.177266002965,3097.557416654958,3174.937567304168,3252.317717949689,3329.697868491576,3407.078019231912,3484.458169868713,3561.838320399681,3639.218471029775,3716.598621759465,3793.978772385031,3871.358923007381,3948.739073626641
866.0,2401.393658223919,2478.868627127371,2556.343596027395,2633.81856492366,2711.293533816563,2788.768502705943,2866.243471592147,2943.71844047477,3021.193409354046,3098.66837822961,3176.143347102289,3253.618315971493,3331.093284748479,3408.568253700766,3486.043222560939,3563.518191327257,3640.993160180873,3718.468129122062,3795.943097971244,3873.418066816907,3950.893035659567
867.0,2401.651304317023,2479.221091136933,2556.790877953479,2634.360664766027,2711.9304515753,2789.500238380812,2867.07002518312,2944.639811981894,3022.209598777416,3099.77938556896,3177.349172357512,3254.918959142811,3332.488745847827,3410.058532703946,3487.628319479888,3565.198106174496,3642.76789294404,3720.33767978859,3797.907466553793,3875.477253315166,3953.047040073627
868.0,2401.90899892097,2479.573603349641,2557.238207775015,2634.902812196142,2712.567416614081,2790.232021028015,2867.896625438712,2945.561229845927,3023.225834249987,3100.890438649792,3178.555043046493,3256.219647440172,3333.884251766027,3411.548856217724,3489.213460601706,3566.878064917425,3644.542669295173,3722.20727373481,3799.871878108313,3877.536482477663,3955.201086844195
869.0,2402.166742013691,2479.9261637433,2557.68558546968,2635.445007191554,2713.20442891033,2790.963850624846,2868.723272336093,2946.482694043909,3024.24211574867,3102.001537448888,3179.760959145887,3257.520380840102,3335.279802479488,3413.03922421837,3490.798645902538,3568.558067532068,3646.317489210169,3724.07691093648,3801.836332610437,3879.595754279903,3957.35517594665
870.0,2402.424533573117,2480.278772295713,2558.13301101515,2635.987249729812,2713.841488441468,2791.695727148599,2869.549965852428,2947.404204552877,3025.258443250375,3103.112681943033,3180.96692063235,3258.82115931913,3336.675397964619,3414.529636682159,3492.383875358526,3570.238113994449,3648.092352664925,3725.946591369363,3803.800830035797,3881.655068697392,3959.509307356367
871.0,2402.68237357718,2480.631428984685,2558.580484389101,2636.529539788463,2714.478595184915,2792.427650576568,2870.376705964882,2948.325761349869,3026.274816732014,3104.223872109009,3182.172927482537,3260.121982853784,3338.071038197827,3416.020093585362,3493.969148945816,3571.918204280595,3649.867259635339,3727.81631500922,3805.765370360027,3883.714425705635,3961.663481048727
